Character,Line
Ranger McFriendly,"We've got to tell the townspeople! South Park still has a chance to make it through the storm!
"
Stan,"What about San Francisco?
"
Keenan,"Kid, thanks to your gay little song, there's not gonna be a San Francisco.
"
Ranger McFriendly,"Soo, that's it people.  When the smug from George Clooney's speech hits the San Francisco and South Park smug, we're gonna witness a storm the likes of which we've never seen.
"
Randy,"Are you trying to tell us the smug from our hybrids is actually gonna kill us all?
"
Ranger McFriendly,"If the smug clouds remain the way they are, yes. 
"
Jimbo,"This is all Stan's fault! He wrote that gay little song and got us to drive those damned hybrids!
"
Randy,"Yeah. Good going, stupid!
"
Ranger McFriendly,"Listen! Though we all agree this is Stan's fault, there is still something we can do. If we all work together to reduce smugness, we might be able to lessen the effects of the storm, at least here in our own town.
"
Stephen,"Then that's it. There's only one way to reduce smugness. We've gotta destroy every hybrid car in town! 
"
Jimbo,"Everyone get your hybrid and meet at Dawson's! 
"
Randy,"Hey, where do you think YOU're going?!
"
Stan,"I'm gonna try and warn Kyle to get out of San Francisco.
"
Randy,"Oh no you're not! Your gay little song got us to drive hybrids; you're gonna help us get rid of 'em!
"
Ranger McFriendly,"How long do we have until the smug clouds collide?
"
Keenan,"Not long. The smug from George Clooney's Academy Awards Acceptance Speech has already crossed into Arizona.
"
Attendant,"The hell is that? 
"
Butters,"Wow, Eric. You sure are a great guy for doing this.
"
Cartman,"I don't have a choice. Somebody has to get into San Francisco and warn Kyle's family to get out before the storm hits.
"
Butters,"But... how come we can't just take the bus on into the city?
"
Cartman,"You don't know San Francisco, Butters.  It was the breeding ground for the hippie movement in the 60s. Those hard-core liberals, lesbian activists, and die hard modern hippies young and old.  I swore I would never set foot in San Francisco. God help me.  All right, Butters, I'll be tethered to you through this cord. It's my only lifeline, so make sure it stays taut. If you stop hearing my voice, for the love of Christ, start reeling me in with all your strength.
"
Butters,"I will. You're really great for going to warn Kyle, Eric.
"
Cartman,"I'm not doin' it for Kyle.  I can't believe I'm actually going to walk through San Francisco. Well, here it goes. 
"
Ranger McFriendly,"All right. All right, now get it into the masher! Hurry up!
"
Stan,"Can't somebody else operate this? I can't really reach.
"
Ranger McFriendly,"Well then you shouldn't have written that gay little song, shouldn't you have?!  Keenan, we've gotten rid of half the hybrid cars! How are the smug levels?!
"
Keenan,"They're dropping, slowly, but... but we're running out of time!
"
Man,"Yeah, it's like, San Francisco is more of a European city, like Paris or Milan.
"
Cartman,"Butters, are you there?!
"
Butters,"I'm here, Eric.
"
Cartman,"I've started to enter the smug. I'm about a quarter mile in. Can you give me an EL?
"
Butters,"You must be nearing Union Square. Did you see a fountain to your left?
"
Cartman,"Yes. It's just beyond yet another wine and cheese store.
"
Butters,"Wait, uhh, eh take your next right. You've got to start heading west.
"
Cartman,"Turning right at O two four niner. 
"
Randy,"That's it. That's that the last one.
"
Ranger McFriendly,"Keenan? Keenan, we've smashed the last hybrid!
"
Keenan,"Harry, the smug from Clooney's speech is about to hit the other smug system! Get everyone inside!  God help us.
"
Cartman,"Butters?! Butters, I think I'm here! 2419 Castillo?!
"
Butters,"That's it! Eric, hurry! Somethin's goin' on out here!
"
Cartman,"Mr. Broflovski! Mr. Broflovski, there a smug storm! We have to go!
"
Gerald,"Being smug is a good thing. 
"
Cartman,"Oh my CHRIST!  Kyle? Kyle!
"
Kyle,"The acid. Dude, I'm totally tripping balls.
"
Ike,"I'm totally tripping balls. I'm totally tripping balls.
"
Cartman,"We have to get out of here! Now!  Kyle! Kyle!! 
"
Network Anchor,"And now, the worst appears to be over. Last night's smug storm... has left thousands homeless. All across the Midwest, people are picking up the pieces. Cities like Denver and South Park are heavily damaged, but still all right. However, San Francisco, I'm afraid... has disappeared completely up its own asshole.
"
Stan,"No...
"
Randy,"I'm sorry, Stan. I'm sorry your gay little song killed your friend.
"
Clyde,"Hey! Hey, Stan! You're not gonna believe it! You've gotta come see!
"
Stan,"What?
"
Clyde,"It's a miracle!
"
Stan,"Kyle!
"
Kyle,"Hey Stan.
"
Stan,"Dude, what happened?? 
"
Gerald,"We don't know. We were all passed out and... next thing we know we just woke up on a bus heading here.
"
Mr. Mackey,"It's like you had a guardian angel, m'kay? 
"
Stan,"Dude, I'm so glad you're not dead.
"
Richard,"So I guess there's nothing left to do now but... rebuild.
"
Randy,"Yeah. First off, we're all gonna need new cars.
"
Gerald,"And let's make sure nobody gets a stupid hybrid, right? 
"
Kyle,"NO! Hybrid cars are a good thing!
"
Mr. Mackey,"But hybrid cars are the leading cause of smug, m'kay?
"
Kyle,"Hybrid cars don't cause smugness, people do.  Look, hybrid cars are important. They may even save our planet one day. What you all need to do is just learn to drive hybrids and not be smug about it.
"
Randy,"You mean... drive in hybrids... but not act like we're better than everyone else because of it.
"
Kyle,"Yeah!
"
Randy,"I'm...  I'm not ready...
"
Gerald,"I don't think I can do it either.
"
Mr. Mackey,"It's simply asking too much.
"
Randy,"Perhaps... one day... we can learn to drive hybrids without being smug about it, but for now... the technology is just too much for us.
"
Gerald,"Come on, everybody! Let's go buy wasteful gas guzzlers! 
"
Cartman,"Well, looks like you're back for good, huh Kyle?
"
Kyle,"Yeah, I guess so.
"
Cartman,"We just can't get rid of you, can we, you sneaky Jew rat!
"
Kyle,"Don't belittle my people, you fucking fatass! 
"
Cartman,"Ah, that's better. 
"
Sharon,"But the Bubble Gum Prince wasn't afraid. He knew that the Land of Chocolate was safe forever and ever.  Goodnight my little angel. 
"
Randy,"STAAAN!!
"
Stan,"What?? What??
"
Randy,"Get up! Get your shoes on! Gotta get out of here! MOOVE!  Take this!!  We've gotta bring all the water we can!!  Shelly, go get my gun!!
"
Shelly,"Whats going on dad?
"
Randy,"JUST GET THE GUN!! 
"
Randy,"Unh, come on! 
"
Man,"AWWWGH!
"
Woman,"Oh nooo! 
"
Stan,"Kyle! What the hell is going on this time?!
"
Kyle,"I have no idea!
"
Man,"Take cover in the community center again!
"
Jimbo,"All right, everyone get in and get a seal on that door!
"
Linda,"Oh my God, Stephen, we've left Butters. 
"
Stephen,"We can't go back out, Linda! It's too late for him!
"
Stan,"Dad?  Dad, what the hell is going on?! 
"
Randy,"A cartoon...! A cartoon is about to air on American television with... with the Muslim prophet Mohammad as a character! 
"
Stan,"Sso?
"
Randy,"SO?! Stanley, Mohammad is sacred to the Muslim people.  Ever since those cartoon in Denmark, the rules have changed. Nobody shows an image of Mohammad anymore.
"
Gerald,"Which cartoon is it? What cartoon'll be so insensitive as to have Mohammad as a character?
"
Randy,"Who do you think?! The cartoon that's always pushing buttons with their careless toilet humor! Family Guy!
"
Crowd,"AWWW!
"
Jimbo,"How could Family Guy do that?
"
Sheila,"Why would Family Guy so blatantly insult Muslims?
"
Randy,"Because Family Guy doesn't care who they insult! They only care about their... precious money!
"
Stan,"Oh come on, people. You really think anybody's gonna be that pissed off about a cartoon??
"
Mr. Mackey,"Wu-we've got the TV working! 
"
Tom,"Once again, a cartoon depicting the Muslim prophet Mohammad is set to air tonight on Family Guy!
"
Sharon,"Oh Randy, hold me. 
"
Tom,"The news has already sparked a shockwave of protests throughout the Muslim world.  All over the Middle East, Muslims are burning American flags and Family Guy posters. Muslim terrorist al-Zawahri made this statement:
"
al-Zawahri,"We are so super pissed off at 'Family Guy'. 'Family Guy' isn't even that funny of a show. A jihad on 'Family Guy', and the 'Family Guy' nation!
"
Linda,"So what happens now?
"
Randy,"We stay here through the night, wait it out to see if they do anything. If we're still alive in the morning,  then we'll know we're not dead.
"
Mrs. Garrison,"It's okay! 
"
Randy,"We're alive?? We're alive! 
"
Jimbo,"Everyone. Everyone, listen. FOX Network censored the image of Mohammad at the last minute.
"
Crowd,"Oh thank God.
"
Randy,"Well, it looks like we've dodged a bullet.
"
Stan,"They censored the image of Mohammad? How?
"
Kyle,"I TIVO every episode. We can go to my house and see what they did.
"
Kyle,"Okay you guys, check it out. 
"
Cartman,"You TIVO every episode of Family Guy?
"
Kyle,"Dude, it's a good show.
"
Stan,"Yeah, lots of people like Family Guy.
"
Cartman,"Yich. 
"
Lois,"Peter, I can't believe you invited your old high-school sweetheart over for dinner.
"
Peter,"You think that's bad? Remember when I auditioned to be David Hasselhoff's car? 
"
Peter,"Hey there, Knight Rider. 
"
Michael,"After those bad guys, KITT! 
"
Chris,"Yeah, but Dad, why would you invite an ex-girlfriend to dinner?
"
Stewie,"Perhaps he wants to make our mother nervous.
"
Peter,"Nervous? Like when I had to sell pancakes to the school soccer captain? 
"
Peter,"Pancakes for you, Captain?
"
Soccer Captain,"I'll be the Captain, and you'll be Tenille. 
"
Peter,"Love will keep us together
"
Kyle,"Hehaha, heh.
"
Cartman,"Yich.
"
Lois,"But Peter, I don't wanna cook dinner for your ex-girlfriend.
"
Peter,"Well, maybe we can just have tea.
"
Brian,"You mean like the time you had tea with Mohammad, the prophet of the Muslim faith? 
"
Peter,"Come on, Mohammad, let's get some tea. 
"
Mr. T,"Try my ""Mr. T. ...tea."" 
"
Peter,"Oh boy, was that ever weird. Anyway, I can't believe I invited my old sweetheart to dinner. Huh.
"
Kyle,"That's it? That's all they did?
"
Cartman,"Oh man, that's not cool! Seriously, that is not cool.
"
Stan,"What? What's the big deal?
"
Cartman,"What's the big deal? You guys, they just made fun of the religion of an entire group of people.  What, you guys think that's okay?! Do you care at all about people's feelings?!
"
Kyle,"Since when you care about being sensitive to people's religion, Cartman?!
"
Stan,"Yeah, you rip on people's religion all the time!
"
Cartman,"That's different! I'm just a little boy! That's a cartoon! Millions of people watch it! How would you feel, Kyle, if there was a cartoon on television that made fun of Jews all the time?! Huh?!
"
Kyle,"Uhhh...
"
Cartman,"I'm telling you guys, it's wrong! It's WRONG!!  It's wrong! 
"
Sheila,"Kyle? Kyle, what are you watchi-?!
"
Peter,"Hey Brian, this is like the time I got a job as a carrot cake.
"
Sheila,"Gaaah! It's Family Guy! Quick, Gerald, do something! 
"
Kyle,"Dad, Dad, Jesus Christ!
"
Gerald,"It's okay... it's dead.
"
Sheila,"You boys know you're not supposed to watch that careless show!
"
Kyle,"Mom, it was nothing. Mohammad just stood there and then drank some tea.
"
Sheila,"You boys don't understand anything! It's obvious that you ALL need Muslim-sensitivity training!
"
Mrs. Garrison,"Welcome to Muslim-Sensitivity Training. It is important for us to understand why the Muslim feel the way they do, and why we can never show an image of Mohammad.
"
Kyle,"No, Muslims can't show an image of Mohammad.
"
Mrs. Garrison,"Kyle, you're not being very sensitive.
"
Cartman,"Yeah, Kyle. Maybe you think this is funny, but the rest of us don't.
"
Mrs. Garrison,"Let's all look at why Muslims are upset:  First of all, in the Muslim religion, you're not allowed to have what?  Sex. Good.  There's no sex until marriage in the Muslim world.  Now, this would be fine except that in the Muslim religion you also can't... Anybody?  Jack off.  Okay, jacking it is strictly forbidden in the Muslim religion.  And what do we know about the places Muslims live? They live in?  Good, sand.  Now put yourself in the shoes of a Muslim. It's Friday night, but you can't have sex, and you can't jack off. There's sand in your eyes and probably in the crack of your ass, and then some cartoon comes along from a country where people are getting laid, and mocks your prophet. Well you know what? I'd be pretty pissed off too!
"
Cartman,"Mrs. Garrison, that is ignorant and racist! Muslims are mad because of Family Guy, not because they can't jack off! Right, Wendy?
"
Wendy,"...yeah.
"
Mr. Mackey,"Attention students: Proceed to the school gymnasium immediately for an emergency announcement!
"
Stan,"The hell's going on now?!
"
Principal Victoria,"Shh! Quiet, students, quiet!
"
SNN Anchor,"Once again: we have just learned that the Family Guy episode featuring Mohammad was only Part 1 of a two-parter! And Part 2 is going to air next week, with Mohammad uncensored!
"
Cartman,"What?
"
Mrs. Garrison,"Why would they-?
"
SNN Anchor,"FOX Studios claims that the Family Guy writing staff has demanded the Mohammad character be seen in full view.  The head of FOX had this to say:
"
FOX President,"Family Guy is our biggest show. If they insist we don't censor their work, then we we can't.
"
Randy,"FAMILY GUY!!!  I DAMN YOU TO HELL!!!
"
SNN Anchor,"Once again, bitter riots have started in the Middle East; this time, even more massive. And terrorist leader al-Zawahri has issued a threat
"
al-Zawahri,"Seriously, 'Family Guy' isn't even that well written. The jokes are all interchangeable and usually irrelevant to the plot. When this episode airs-our retaliation will be MASSIVE!!!!
"
Mr. Mackey,"Retaliation... Oh my God. M'kay?
"
Cartman,"Goddamned Family Guy! Now they're just provoking people! It's like they want a holy war!
"
Stan,"Does this mean we don't have school all week?
"
Cartman,"You guys, this is serious! We have to do something!
"
Kenny,"(Like what?)
"
Cartman,"We have to go to the FOX network in L.A. We have to go and... try to get that episode pulled. You guys with me?
"
